company,title,exp,link,edu,location
㈜스크린GO,Python  Swift  Kotlin  앱 개발자 모집,신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41647876?Oem_Code=C1&logpath=1&stext=python&listno=23,학력무관,경기 수원시
㈜아임클라우드,AI 교육 서비스 개발자 (Java  파이썬  React),신입·경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41643713?Oem_Code=C1&logpath=1&stext=python&listno=24,대졸↑,서울 강남구
주식회사 모두모아컴퍼니,C#  Python Selenium 관련 개발자 정규직 채용,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41641939?Oem_Code=C1&logpath=1&stext=python&listno=25,학력무관,서울 송파구
스타프리마㈜,[한전] 발전정보시스템 Python  Java 유지보수/운영(초급),경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41635970?Oem_Code=C1&logpath=1&stext=python&listno=26,초대졸↑,전남 나주시
㈜상상할수없는,파이썬 개발자 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41618748?Oem_Code=C1&logpath=1&stext=python&listno=27,학력무관,서울 영등포구 외
㈜우리인재개발원,자바 / 파이썬 / 빅데이터 / AI vision 강사 모집,경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41631312?Oem_Code=C1&logpath=1&stext=python&listno=28,대졸↑,경기 부천시
㈜위존 강남사업장,[경력] Solution/SW 웹개발자 채용 - JAVA/SPRING/Python,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41630542?Oem_Code=C1&logpath=1&stext=python&listno=29,학력무관,서울 강남구
인튜브,Python  Elastic 개발 경력직원을 모집합니다.,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41628683?Oem_Code=C1&logpath=1&stext=python&listno=30,학력무관,서울 광진구
인튜브,Python  Elastic 개발 신입사원을 모집합니다.,신입·경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41628639?Oem_Code=C1&logpath=1&stext=python&listno=31,학력무관,서울 광진구
C&C KOREA,건설사 빅테이터(Python  TypeScript) 구축 및 운영,경력9년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41626760?Oem_Code=C1&logpath=1&stext=python&listno=32,학력무관,서울 영등포구 외
㈜ 칸테크,PYTHON / SQLD 개발자 모집 (신입·경력),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41625317?Oem_Code=C1&logpath=1&stext=python&listno=33,초대졸↑,서울 금천구
더조은컴퓨터아트학원,야간/주말 직업훈련교사(웹퍼블리셔/영상/쇼핑몰마케팅/자바파이썬),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41624155?Oem_Code=C1&logpath=1&stext=python&listno=34,초대졸↑,경기 고양시
조인아이티,SI(개발)/DIP공정분석자동화/JAVA PYTHON HADOOP HIVE등  /중급 고급/05.01-23.12.31/경북구미3공장/,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41622806?Oem_Code=C1&logpath=1&stext=python&listno=35,학력무관,경북 구미시
㈜포디아이비젼,OpenCV/MATLAB/TensorFlow/Python/C/C++/Linux 알고리즘 개발 (팀원)(팀장),신입·경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41612567?Oem_Code=C1&logpath=1&stext=python&listno=36,석사↑,서울 서초구 외
㈜보인정보기술,솔루션/서비스 개발팀 (Python/Java),신입·경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41611146?Oem_Code=C1&logpath=1&stext=python&listno=37,학력무관,서울 금천구
㈜플란랩스,[경력/데이터분석] SQL  PYTHON 가능한 경력직원 모집,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41610293?Oem_Code=C1&logpath=1&stext=python&listno=38,학력무관,서울 강남구
㈜에스씨에이아카데미노원,[SBS아카데미 노원] 평일 C언어  java  파이썬 강사 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41610191?Oem_Code=C1&logpath=1&stext=python&listno=39,학력무관,서울 노원구
㈜비에스소프트,서버 개발자  파이썬 개발자  영상 및 음성 엔지니어 채용합니다.,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41609238?Oem_Code=C1&logpath=1&stext=python&listno=40,대졸↑,광주 북구
디자인그룹나인,[파견/12개월] 손보사 구축 개발 프로젝트/python,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41603295?Oem_Code=C1&logpath=1&stext=python&listno=41,학력무관,서울 마포구
트래블라이㈜,python 개발자 모집 (공공기관 프로젝트),경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41597625?Oem_Code=C1&logpath=1&stext=python&listno=42,대졸↑,서울 성동구
㈜다래파크텍,자바/파이썬 프로그래머 경력 모집(정규직),경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41594210?Oem_Code=C1&logpath=1&stext=python&listno=43,학력무관,서울 송파구
㈜인라이플,[주4.5일근무] Python 개발직무 경력 채용,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41592939?Oem_Code=C1&logpath=1&stext=python&listno=44,학력무관,서울 구로구 외
만들다.co,자바/파이썬/코틀린 中 개발 가능자 모집 (신입 가능),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41590418?Oem_Code=C1&logpath=1&stext=python&listno=45,학력무관,경기 안산시
주식회사 그랫,[그랫] Django 기반 Rest Api 파이썬 서버 개발,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41584273?Oem_Code=C1&logpath=1&stext=python&listno=46,초대졸↑,서울 구로구 외
㈜베스티아소프트,10442. PYTHON(파이썬 AWS) - 현대카드 빅데이터플랫폼개발(초급) - SI,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41570737?Oem_Code=C1&logpath=1&stext=python&listno=47,학력무관,인천 연수구 외
㈜메트릭스,AI 엔지니어 채용 공고[python],경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41569880?Oem_Code=C1&logpath=1&stext=python&listno=48,학력무관,대전 중구
기술좋은직업전문학교,[국비무료] 취업연계 교육(빅데이터&자바&파이썬),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41568994?Oem_Code=C1&logpath=1&stext=python&listno=49,학력무관,부산 북구 외
㈜데이터위버,[분석전문] 파이썬 딥러닝 데이터분석,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41569350?Oem_Code=C1&logpath=1&stext=python&listno=50,학력무관,서울 중구
㈜와이즈교육,[부산] 와이즈교육 IT AI 인공지능 / 파이썬 / 드론 / 로봇 / 코딩 학원 초중고 강사 프리랜서 투잡 가능,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41563510?Oem_Code=C1&logpath=1&stext=python&listno=51,초대졸↑,부산 연제구 외
㈜엠아이티능력개발원,[국비전액무료] IT 취업 파이썬/자바/빅데이터 교육훈련생 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41562840?Oem_Code=C1&logpath=1&stext=python&listno=52,학력무관,경기 수원시
㈜지니,[공개채용] (주)지니 ICT본부(Python 개발자) 공개채용,경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41559431?Oem_Code=C1&logpath=1&stext=python&listno=53,고졸↑,대전 서구
트리플랜,SM( 운영)/은행.마이데이타자산관리상시운영반/즉시-23.08.31(년단위)/python/중급/반정규직/을지로/,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41553641?Oem_Code=C1&logpath=1&stext=python&listno=54,학력무관,서울 중구
㈜벨텍소프트,Python 프리랜서 개발자 채용,경력7년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41550030?Oem_Code=C1&logpath=1&stext=python&listno=55,학력무관,서울 송파구
㈜핑거,1금융 자산관리 운영반 파이썬 개발 경력자를 모십니다.(정규직/프리랜서 모두 지원 가능),경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41542264?Oem_Code=C1&logpath=1&stext=python&listno=56,초대졸↑,서울 종로구 외
로지시스템㈜,기술연구소 개발인력 충원(JAVA  PYTHON),신입·경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41516151?Oem_Code=C1&logpath=1&stext=python&listno=57,초대졸↑,경기 용인시 외
튠스타티비,자바스크립트 개발 및 파이썬 개발,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41539031?Oem_Code=C1&logpath=1&stext=python&listno=58,학력무관,서울 강남구 외
재단법인 한국아이티교육재단 한국아이티,파이썬 프로그래밍 강사 채용 (평일/ 주말/ 평일 저녁),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41517922?Oem_Code=C1&logpath=1&stext=python&listno=59,대졸↑,경기 성남시
㈜아이에스엔티,프로그램사용가능자 모집(C/C#/labviaw/파이썬),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41504383?Oem_Code=C1&logpath=1&stext=python&listno=60,학력무관,경기 부천시
주식회사글로벌모터서비스,[강남] Test Automation Engineer 모집(Python  Javascript),신입·경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41486755?Oem_Code=C1&logpath=1&stext=python&listno=61,학력무관,서울 강남구
주식회사 이젠컴퓨터아카데미,[이젠아카데미]노원 파이썬(Python) 프로그래밍 주말 재직자 훈련교사 채용,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41484340?Oem_Code=C1&logpath=1&stext=python&listno=62,초대졸↑,서울 노원구 외
굿투굿,웹 자동화 딥러닝 파이썬 ChatGPT 셀레니움 쇼핑몰 창업 관심있는 분,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41481495?Oem_Code=C1&logpath=1&stext=python&listno=63,고졸↑,충남 아산시
인천더조은컴퓨터아트학원,[메가스터디 교육그룹 더조은컴퓨터학원 인천점] 파이썬/빅데이터 강사님을 모십니다.,신입·경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41476974?Oem_Code=C1&logpath=1&stext=python&listno=64,초대졸↑,인천 부평구 외
㈜라온텍,신입 Java/Python 개발자 채용합니다,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41475473?Oem_Code=C1&logpath=1&stext=python&listno=65,대졸↑,경기 하남시
지엔소프트㈜,기술연구소 C#(.NET)  Python(AI) 응용 프로그래머 모집(비식별화  스마트팩토리  AI),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41461684?Oem_Code=C1&logpath=1&stext=python&listno=66,대졸↑,대전 유성구
누리꿈소프트㈜,Python기반 지능형분석플랫폼 개발자 구인중입니다.,경력6년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41453982?Oem_Code=C1&logpath=1&stext=python&listno=67,학력무관,서울 영등포구
치얼업코리아㈜,[치코마켓] 개발직 ( Python  RPA ) 채용 공고,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41453899?Oem_Code=C1&logpath=1&stext=python&listno=68,초대졸↑,전북 익산시 외
㈜성우에스티에이,[서대문역] 팔란티어 클라우드 데이타분석 TypeScript Python Javascript 4-5월투입 2명,경력10년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41443008?Oem_Code=C1&logpath=1&stext=python&listno=69,초대졸↑,서울 종로구
㈜하이미디어컴퓨터학원,자바  파이썬 등 개발자 과정 강의 가능한 전문강사를 채용합니다.,경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41426941?Oem_Code=C1&logpath=1&stext=python&listno=70,초대졸↑,경기 성남시
㈜에이플러스정보기술,[5월투입  서울역 근처] 빅데이터  python 가능한 신입 및 경력직 개발자 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41420977?Oem_Code=C1&logpath=1&stext=python&listno=71,학력무관,서울 중구
㈜케이텍,프로그램 개발자 모집(Machine Vision  AI(Python)  C  C#  C++),신입·경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41417333?Oem_Code=C1&logpath=1&stext=python&listno=72,초대졸↑,경북 포항시 외
건준컴퓨터학원,[컴퓨터 학원강사] 토요반(소규모강의) 컴퓨터학원경력자만지원해주세요- OA  그래픽  코딩  ITQ  GTQ  컴퓨터교육 컴활  워드  코딩  스크래치  파이썬  C언어  자바  캐드,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41402467?Oem_Code=C1&logpath=1&stext=python&listno=73,초대졸↑,경기 파주시 외
마스팜,AI기반 3세대 스마트팜 플랫폼 자바로직/파이썬 모델링 개발자,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41401855?Oem_Code=C1&logpath=1&stext=python&listno=74,대졸↑,전북 전주시 외
㈜럽맘,Python Django 서버 개발자 경력자 채용,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41391959?Oem_Code=C1&logpath=1&stext=python&listno=75,학력무관,서울 강서구
허브넷컴퍼니,2023년 데이터분석  개발 (Python/JAVA/SAS) 정규직 채용,신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41389199?Oem_Code=C1&logpath=1&stext=python&listno=76,대졸↑,대전 유성구
㈜아이티존,[경력&신입]빅데이터솔루션개발-Python Java(정규직) 채용,신입·경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41387159?Oem_Code=C1&logpath=1&stext=python&listno=77,초대졸↑,대전 유성구
국제컴퓨터아트학원,파이썬  웹퍼블리셔 강의하실 선생님을 모십니다.,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41385584?Oem_Code=C1&logpath=1&stext=python&listno=78,학력무관,서울 강동구
