company,title,exp,link,edu,location
Fount,[핀테크] 백엔드 엔지니어 채용(Python),경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41321159?Oem_Code=C1&logpath=1&stext=python&listno=89,학력무관,서울 중구
㈜앤서레이,C/C++/C# Java Python 기반의 응용 프로그래밍 및 시스템 프로그래머,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41317231?Oem_Code=C1&logpath=1&stext=python&listno=90,초대졸↑,경기 안양시
에이젠글로벌,[에이젠글로벌]Python Backend Engineer,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41290949?Oem_Code=C1&logpath=1&stext=python&listno=91,대졸↑,서울 영등포구
㈜역사의물줄기,솔루션 개발팀 경력직 (기획 PM/Python 개발/디자이너) 3명 모집,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41290331?Oem_Code=C1&logpath=1&stext=python&listno=92,초대졸↑,서울 영등포구
㈜켐에쎈,Python Django 백엔드 개발자 모집,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41289616?Oem_Code=C1&logpath=1&stext=python&listno=93,학력무관,서울 영등포구
국제컴퓨터아트학원,[천호캠퍼스] IT 프로그래밍(빅데이터&파이썬&자바) 강사채용,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41251670?Oem_Code=C1&logpath=1&stext=python&listno=94,초대졸↑,서울 강동구
행복쇼핑 주식회사,REACT  PHP   PYTHON 개발자 채용,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41229954?Oem_Code=C1&logpath=1&stext=python&listno=95,초대졸↑,서울 영등포구
㈜유닛컴퍼니(UNIT COMPANY Inc.),자료구조  알고리즘 강사 채용 (팀장급) (C언어  PYTHON),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41223057?Oem_Code=C1&logpath=1&stext=python&listno=96,대졸↑,서울 양천구
이노직업전문학교,정보기술분야(HTML  CSS  JAVA  PYTHON) 야간 및 주말 훈련교사(강사) 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41219914?Oem_Code=C1&logpath=1&stext=python&listno=97,학력무관,경기 부천시
으뜸교육,코딩(아두이노  파이썬) 교육 강사 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41217031?Oem_Code=C1&logpath=1&stext=python&listno=98,초대졸↑,대전 서구 외
㈜지에스아이오토모티브,python Data 전처리 업무 담당자 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41212505?Oem_Code=C1&logpath=1&stext=python&listno=99,학력무관,대전 유성구
디에이치오션,소프트웨어개발자(S/W)개발 프로그래머(PYTHON) 정규직 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41205073?Oem_Code=C1&logpath=1&stext=python&listno=100,대졸↑,부산 사상구
인천구월그린컴퓨터아트학원,저녁주말 JAVA / 파이썬 강사님을 모집합니다.,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41201143?Oem_Code=C1&logpath=1&stext=python&listno=101,초대졸↑,인천 남동구 외
헬리오센,헬리오센(주) Python 응용S/W 개발자 경력 채용,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41151393?Oem_Code=C1&logpath=1&stext=python&listno=102,초대졸↑,경기 성남시
ArctX LLC,C#.Net/JAVA/Python 풀스택 개발자 (기초영어 가능자),경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41151060?Oem_Code=C1&logpath=1&stext=python&listno=103,초대졸↑,유럽 아르메니아 외
공간정보기술㈜,공간정보기술㈜ Python QGIS 개발자 경력 채용,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41135933?Oem_Code=C1&logpath=1&stext=python&listno=104,학력무관,경기 성남시
㈜페이타랩,[패스오더] 급성장중인 스타트업 `백엔드 개발자` 채용(Spring  Python  MSA),신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41127211?Oem_Code=C1&logpath=1&stext=python&listno=105,학력무관,서울 강남구 외
모블,프로그래밍 전문 강사 채용 (JAVA  자바  C  C#  C++  Android  Spring  JavaScript  Python 등 ),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41117193?Oem_Code=C1&logpath=1&stext=python&listno=106,대졸↑,충남 천안시
㈜에이알컴즈,백엔드 개발자 경력직 채용 (PHP/CodeIgniter  Python),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41116963?Oem_Code=C1&logpath=1&stext=python&listno=107,학력무관,서울 강서구
데이터메쉬,DB 엔지니어 및 Python 인재 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41102785?Oem_Code=C1&logpath=1&stext=python&listno=108,대졸↑,서울 강남구 외
㈜몽태랑인터내셔날,응용 소프트웨어 개발자(PYTHON) 경력직 채용,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41102125?Oem_Code=C1&logpath=1&stext=python&listno=109,대졸↑,경기 하남시
엔원,세종컴퓨터학원 IT 강사님 모집(프리랜서 코딩 파이썬  C언어  OA  그래픽),신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41100351?Oem_Code=C1&logpath=1&stext=python&listno=110,초대졸↑,세종 전지역
㈜바론시스템,기업부설연구소 2023년도 Python 신입/경력 개발자 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41097446?Oem_Code=C1&logpath=1&stext=python&listno=111,초대졸↑,대전 유성구
㈜이루웰,[재택] 파이썬 gui 개발 응용프로그램개발자 모집,신입·경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41096514?Oem_Code=C1&logpath=1&stext=python&listno=112,학력무관,서울 강남구
㈜메디터레이니언웍스,웹  응용프로그램 경력직 (.NET  JAVA  Python 등),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41092933?Oem_Code=C1&logpath=1&stext=python&listno=113,학력무관,경기 성남시
㈜이랜서,(주)이랜서 공개 채용 - PYTHON 개발자,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41086551?Oem_Code=C1&logpath=1&stext=python&listno=114,대졸↑,서울 강남구
써니랩아이티코딩컴퓨터학원,컴세바 동춘점 IT (C언어.JAVA.파이썬.알고리즘.창작물제작)시간강사및 전임강사모집),경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41085057?Oem_Code=C1&logpath=1&stext=python&listno=115,석사↑,인천 연수구
바이오커넥트,(주)바이오커넥트 - [신입 및 경력] 영상처리 알고리즘 포팅(Python  C++),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41072840?Oem_Code=C1&logpath=1&stext=python&listno=116,학력무관,서울 서초구
농업회사법인에피젠,웹개발자 프론트엔드 PHP 자바스크립트 API연동 파이썬,경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41072908?Oem_Code=C1&logpath=1&stext=python&listno=117,초대졸↑,경기 용인시
머스트컴퓨터학원,컴퓨터학원 코딩 강사 모집 - 파이썬  엔트리  유니티 등,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41073059?Oem_Code=C1&logpath=1&stext=python&listno=118,대졸↑,경기 김포시
지아이티아카데미대구,빅데이터(자바  파이썬) 훈련강사 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41065571?Oem_Code=C1&logpath=1&stext=python&listno=119,학력무관,대구 중구
㈜한국직업능력교육원,IoT분야(C언어  파이썬)훈련교사 모집,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41057155?Oem_Code=C1&logpath=1&stext=python&listno=120,초대졸↑,경기 군포시 외
피앤씨테크놀러지㈜,파이썬 Django 백엔드 개발자 모집,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41039844?Oem_Code=C1&logpath=1&stext=python&listno=121,초대졸↑,서울 송파구
㈜시리오,백앤드/Python/Node.js 개발자 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41029072?Oem_Code=C1&logpath=1&stext=python&listno=122,학력무관,서울 구로구
마인드원㈜,소프트웨어 개발 (Python) 신입 및 경력 모집,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41022657?Oem_Code=C1&logpath=1&stext=python&listno=123,대졸↑,서울 강남구
유비넷트,일본 도쿄  시스템 개발  모바일 앱개발 JAVA  Python  화상 인식 개발,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41016889?Oem_Code=C1&logpath=1&stext=python&listno=124,대졸↑,일본 도쿄
에르타,통계/빅데이터 분야 Python 인력모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41014939?Oem_Code=C1&logpath=1&stext=python&listno=125,대졸↑,서울 구로구 외
㈜엠아이티능력개발원,[국비전액무료] IT 취업 파이썬/인공지능/빅데이터 교육훈련생 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40991968?Oem_Code=C1&logpath=1&stext=python&listno=126,학력무관,경기 수원시
오아시스스토리㈜,프로그래머 모십니다 [java/jsp /c#/python],경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40967913?Oem_Code=C1&logpath=1&stext=python&listno=127,학력무관,대전 서구 외
시프트원㈜,[Cloud/A.I./Datalake] B/E (Python  Go  Java) 개발자 채용,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/40960309?Oem_Code=C1&logpath=1&stext=python&listno=128,대졸↑,서울 강남구 외
세종컴퓨터학원,세종컴퓨터학원 IT 강사님 모집(프리랜서 코딩 파이썬  C언어  OA  그래픽),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40956126?Oem_Code=C1&logpath=1&stext=python&listno=129,초대졸↑,세종 전지역
이벌브소프트,[이벌브소프트] Back End(Python) 개발자 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40944330?Oem_Code=C1&logpath=1&stext=python&listno=130,초대졸↑,서울 서초구 외
바이오커넥트,(주)바이오커넥트 - [신입 및 경력] 생체정보 영상처리 알고리즘 개발(Python),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40935926?Oem_Code=C1&logpath=1&stext=python&listno=131,대졸↑,서울 서초구
PENTAIN,[동경] WebApplication개발자모집 (Java Python경력자),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/40879213?Oem_Code=C1&logpath=1&stext=python&listno=132,대졸↑,일본 도쿄
더조은컴퓨터학원,[더조은컴퓨터 구로캠퍼스] 빅데이터분석(파이썬  자바)기반 AI(머신러닝 딥러닝) 강사 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/40909526?Oem_Code=C1&logpath=1&stext=python&listno=133,학력무관,서울 구로구
쿼드마이너,업계 최고 대우로 파이썬(Python) 개발자를 모십니다.,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/40907015?Oem_Code=C1&logpath=1&stext=python&listno=134,학력무관,서울 강남구
SK쉴더스㈜,SK쉴더스 채용연계 클라우드 기반 스마트융합보안 과정 교육생 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41662199?Oem_Code=C1&logpath=1&stext=python&listno=135,학력무관,서울 중구
㈜티빙,[티빙] 개발자 대규모 채용,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41620056?Oem_Code=C1&logpath=1&stext=python&listno=136,대졸↑,서울 마포구 외
모본㈜,개발부문(SW / RADAR 펌웨어) 신입/경력 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41639119?Oem_Code=C1&logpath=1&stext=python&listno=137,학력무관,서울 강남구
㈜고영테크놀러지,[고영테크놀러지] 각 부문 채용전제형 인턴 및 경력 사원 모집,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41629576?Oem_Code=C1&logpath=1&stext=python&listno=138,학력무관,서울 금천구 외
HL Klemove,[HL Klemove] 2023 상반기 3차 신입/경력 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41614206?Oem_Code=C1&logpath=1&stext=python&listno=139,대졸↑,인천 연수구 외
㈜영신디엔씨,각 분야 신입 및 경력 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41605042?Oem_Code=C1&logpath=1&stext=python&listno=140,학력무관,경기
㈜아이센스,(주)아이센스 2023년 상반기 신입 및 경력 수시채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41572194?Oem_Code=C1&logpath=1&stext=python&listno=141,초대졸↑,서울 서초구 외
텔레칩스,텔레칩스 2023년 상반기 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41564771?Oem_Code=C1&logpath=1&stext=python&listno=142,학력무관,경기 성남시 외
국가정보원,2023년도 경력경쟁채용 공고,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41521334?Oem_Code=C1&logpath=1&stext=python&listno=143,대졸↑,서울 강남구
㈜크레버스,(주)크레버스 신입/경력 대규모 채용,신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41517035?Oem_Code=C1&logpath=1&stext=python&listno=144,학력무관,서울 성동구 외
오케이몰,명품 이커머스 오케이몰 PHP 웹개발자 채용(주 35시간 근무),경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41495192?Oem_Code=C1&logpath=1&stext=python&listno=145,학력무관,서울 중구
엘지유플러스,2023 학/석/박사 과정 Global Summer Internship 모집,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41651194?Oem_Code=C1&logpath=1&stext=python&listno=146,없음,서울 강서구
엘지전자㈜,2023년 상반기 H&A본부 석/박사 우수인재 모집 (수도권),신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41594200?Oem_Code=C1&logpath=1&stext=python&listno=147,석사↑,서울 영등포구 외
한화생명보험㈜,2023년 일반직 신입사원 채용,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41564678?Oem_Code=C1&logpath=1&stext=python&listno=148,없음,서울 영등포구
㈜데이타솔루션,(주)데이타솔루션 통계SW기술지원 신입사원 채용 공고,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41059540?Oem_Code=C1&logpath=1&stext=python&listno=149,초대졸↑,서울 강남구
㈜아이엘사이언스,[IL GROUP] 직무별 신입/경력직 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41563605?Oem_Code=C1&logpath=1&stext=python&listno=150,학력무관,서울 송파구 외
㈔한국인공지능협회,2023 민간기업맞춤형 사업 - 인공지능 개발 실무교육 및 취업과정 참여자 추가 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41662350?Oem_Code=C1&logpath=1&stext=python&listno=151,학력무관,서울 강서구 외
㈔한국이엠에스협회,[서울시 뉴딜/채용연계] 빅데이터 분석 기반 에너지 운영 전문가 양성 및 취업과정 참여자 모집,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41658067?Oem_Code=C1&logpath=1&stext=python&listno=152,학력무관,서울 금천구 외
㈜하이보,[(주)하이보] 라이다 시스템 개발자 채용(신입가능),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41649359?Oem_Code=C1&logpath=1&stext=python&listno=153,초대졸↑,서울 서초구 외
㈜유비케어,부문별 신입/경력 인재영입,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41617002?Oem_Code=C1&logpath=1&stext=python&listno=154,초대졸↑,서울 영등포구
펑타이그레이터차이나 유한회사,PTKOREA 2023년 신입사원 공개채용,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41611350?Oem_Code=C1&logpath=1&stext=python&listno=155,대졸↑,서울 강남구
어플라이드 머티어리얼즈 코리아,어플라이드 머티어리얼즈 코리아 경력사원 모집,경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41602238?Oem_Code=C1&logpath=1&stext=python&listno=156,대졸↑,경기 성남시 외
대한상공회의소 광주인력개발원,[LG1차협력사 등 취업]AI SW개발/CAD·CAM/자동화 국비교육생모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41529308?Oem_Code=C1&logpath=1&stext=python&listno=157,학력무관,광주 광산구 외
한국ICT인재개발원,[국비무료IT취업교육]JAVA웹앱/프론트엔드/백엔드/풀스택/빅데이터/인공지능 외 자바개발자취업교육과정/준비된 인재로 취업하기/SW융복합 인재양성 /수료전부터 취업연계매칭시스템,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41508989?Oem_Code=C1&logpath=1&stext=python&listno=158,고졸↑,서울 마포구 외
㈜엠그램,(주)엠그램 서울과 제주도에서 근무할 경력 개발자 모집합니다,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41509194?Oem_Code=C1&logpath=1&stext=python&listno=159,초대졸↑,서울 영등포구 외
㈜반프,Global Deep Tech Startup  반프 2023 상반기 R&D 전 분야 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41492046?Oem_Code=C1&logpath=1&stext=python&listno=160,학력무관,서울 강남구 외
㈜트랜스코스모스,[TCK] 당사 고객상담 DATA 활용 분석 및 기획 담당자 (여의도)  oy7R,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41666734?Oem_Code=C1&logpath=1&stext=python&listno=161,학력무관,서울 영등포구 외
푸드나무,[푸드나무:랭킹닭컴] 전략기획팀 RPA 개발자 모집 (경력),경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41619660?Oem_Code=C1&logpath=1&stext=python&listno=162,학력무관,서울 마포구 외
㈜이스트시큐리티,[ESTsecurity] 정보보호 백엔드 개발자 (신입/경력),경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41618972?Oem_Code=C1&logpath=1&stext=python&listno=163,학력무관,서울 서초구
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (식품개발(HMR)),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597791?Oem_Code=C1&logpath=1&stext=python&listno=164,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (데이터사이언티스트(영상분석)),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597761?Oem_Code=C1&logpath=1&stext=python&listno=165,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (데이터사이언티스트),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597736?Oem_Code=C1&logpath=1&stext=python&listno=166,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (데이터엔지니어(클라우드)),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597709?Oem_Code=C1&logpath=1&stext=python&listno=167,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (데이터엔지니어),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597687?Oem_Code=C1&logpath=1&stext=python&listno=168,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (브랜드 마케팅),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597666?Oem_Code=C1&logpath=1&stext=python&listno=169,없음,경기 성남시
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용 (마케팅 MI(Market Intelligence)),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41597617?Oem_Code=C1&logpath=1&stext=python&listno=170,없음,경기 성남시
㈜이노와이어리스,[LIG그룹 계열사] 큐셀네트웍스 HW개발자 경력사원 모집,경력4년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41597581?Oem_Code=C1&logpath=1&stext=python&listno=171,학력무관,경기 성남시 외
삼성웰스토리㈜,마케팅/데이터/식품개발 부문별 경력 채용,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41591788?Oem_Code=C1&logpath=1&stext=python&listno=172,없음,경기 성남시
포스코DX,AI분야 경력 채용(정규직) - Optimization Engineer,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41580972?Oem_Code=C1&logpath=1&stext=python&listno=173,없음,경기 성남시
포스코DX,AI분야 경력 채용(정규직) - Data Scientist,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41580950?Oem_Code=C1&logpath=1&stext=python&listno=174,없음,경기 성남시
포스코DX,AI분야 경력 채용(정규직) - Deep Learnig &  Machine Learnig Engineer,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41580930?Oem_Code=C1&logpath=1&stext=python&listno=175,없음,경기 성남시
포스코DX,AI분야 경력 채용(정규직) - Deep Learnig Engineer,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41580913?Oem_Code=C1&logpath=1&stext=python&listno=176,없음,경기 성남시
포스코DX,AI분야 경력 채용(정규직),경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41580740?Oem_Code=C1&logpath=1&stext=python&listno=177,없음,경기 성남시
㈜이노와이어리스,[LIG그룹 계열사] 이노와이어리스 분석 S/W개발 신입 경력 모집,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41572228?Oem_Code=C1&logpath=1&stext=python&listno=178,대졸↑,경기 성남시
㈜아프리카TV,[아프리카TV] 데이터 분석 및 지표 설계,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41571736?Oem_Code=C1&logpath=1&stext=python&listno=179,학력무관,경기 성남시
위메이드,CERT 담당자,경력5년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41551847?Oem_Code=C1&logpath=1&stext=python&listno=180,학력무관,경기 성남시
