N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
104,현대오토에버,"107,000","2,500",-2.28%,500,"29,344","27,424",2.08,"24,495",32.65,7.26,
105,현대차2우B,"80,100",500,-0.62%,"5,000","29,225","36,485",59.62,"53,634",3.57,N/A,
106,아모레G,"34,700","1,700",+5.15%,500,"28,613","82,458",11.83,"967,531",89.66,5.49,
107,포스코인터내셔널,"23,150",350,-1.49%,"5,000","28,561","123,375",8.90,"412,815",4.99,10.86,
108,일진머티리얼즈,"59,700","1,600",-2.61%,500,"27,528","46,111",10.03,"199,987",49.38,7.85,
109,제일기획,"23,300",500,-2.10%,200,"26,805","115,041",32.88,"351,938",13.59,15.58,
110,한진칼,"40,050",50,-0.12%,"2,500","26,738","66,762",16.93,"39,167",2.82,1.11,
111,현대해상,"29,050",400,-1.36%,500,"25,971","89,400",34.80,"416,306",4.77,8.82,
112,KODEX 200선물인버스2X,"3,050",10,+0.33%,0,"25,891","848,900",2.99,"125,785,588",N/A,N/A,
113,이마트,"92,400","1,100",+1.20%,"5,000","25,757","27,876",28.04,"89,581",2.78,16.25,
114,롯데쇼핑,"85,200","1,300",+1.55%,"5,000","24,102","28,289",12.78,"68,411",-4.64,-2.94,
115,LG화학우,"313,000","4,500",-1.42%,"5,000","24,066","7,689",69.35,"11,070",11.01,N/A,
116,키움증권,"91,400",700,-0.76%,"5,000","23,965","26,220",25.41,"19,108",4.73,25.38,
117,BNK금융지주,"7,290",100,-1.35%,"5,000","23,761","325,935",35.48,"1,438,066",2.93,8.76,
118,에스원,"62,500",100,-0.16%,500,"23,749","37,999",53.69,"43,890",18.66,9.13,
119,한솔케미칼,"207,000","1,000",+0.49%,"5,000","23,464","11,335",39.43,"18,121",16.42,23.88,
120,동원산업,"46,300",750,-1.59%,"1,000","23,142","49,983",2.66,"37,002",4.20,12.59,
121,LS,"70,500","1,000",-1.40%,"5,000","22,701","32,200",13.92,"85,445",5.67,8.15,
122,한전기술,"58,700",800,-1.34%,200,"22,435","38,220",1.77,"190,888",110.55,3.25,
123,OCI,"93,200",600,-0.64%,"5,000","22,228","23,849",12.53,"201,615",2.76,23.93,
124,신세계,"225,000","11,500",+5.39%,"5,000","22,152","9,845",26.18,"255,263",7.45,8.54,
125,HL만도,"46,700",950,-1.99%,"1,000","21,929","46,957",24.10,"136,998",10.35,9.31,
126,CJ,"75,000",600,-0.79%,"5,000","21,883","29,177",17.93,"20,011",7.62,5.66,
127,두산퓨얼셀,"33,400",200,-0.60%,100,"21,875","65,494",15.03,"211,856",668.00,1.69,
128,한미사이언스,"31,400",100,+0.32%,500,"21,548","68,624",2.13,"37,840",42.49,6.37,
129,영원무역,"48,300",400,+0.84%,500,"21,402","44,311",29.64,"41,956",3.77,14.71,
130,동서,"21,350",100,-0.47%,500,"21,286","99,700",3.15,"29,104",19.23,8.05,
131,한화생명,"2,445",25,-1.01%,"5,000","21,236","868,530",7.27,"935,139",1.98,10.79,
132,한화시스템,"11,200",150,-1.32%,"5,000","21,159","188,919",3.92,"478,115",-233.33,6.04,
133,한화,"27,900",350,-1.24%,"5,000","20,913","74,959",18.01,"98,949",2.01,20.22,
134,대한전선,"1,670",10,+0.60%,100,"20,783","1,244,473",1.82,"4,650,338",64.23,7.78,
135,TIGER 미국나스닥100,"69,270",650,-0.93%,0,"20,781","30,000",0.00,"101,372",N/A,N/A,
136,KCC,"233,500","2,500",-1.06%,"5,000","20,750","8,886",13.61,"29,419",-7.50,-0.92,
137,GS건설,"24,050",250,+1.05%,"5,000","20,582","85,581",30.90,"749,529",4.11,9.32,
138,서울가스,"409,000","1,000",-0.24%,"5,000","20,450","5,000",3.48,"6,285",96.87,0.80,
139,휠라홀딩스,"33,400",400,+1.21%,"1,000","20,291","60,752",42.28,"78,287",9.42,16.20,
140,대우건설,"4,875",25,-0.51%,"5,000","20,262","415,623",12.33,"495,181",4.04,16.47,
141,KODEX 200TR,"10,555",15,-0.14%,0,"20,186","191,250",0.07,"225,272",N/A,N/A,
142,TIGER MSCI Korea TR,"12,935",120,-0.92%,0,"20,088","155,300",0.01,"1,746",N/A,N/A,
143,CJ대한통운,"87,800",200,-0.23%,"5,000","20,029","22,812",17.65,"50,533",9.93,1.59,
144,LIG넥스원,"90,700","1,100",-1.20%,"5,000","19,954","22,000",14.23,"137,037",10.88,14.63,
145,대우조선해양,"18,550",0,0.00%,"5,000","19,902","107,291",2.59,"158,343",-1.16,-55.86,
146,농심,"325,500","1,000",-0.31%,"5,000","19,799","6,083",15.16,"7,247",17.03,4.73,
147,TIGER 200,"31,490",65,-0.21%,0,"19,524","62,000",4.93,"1,337,768",N/A,N/A,
148,DB하이텍,"43,950",500,-1.12%,"5,000","19,513","44,399",25.66,"241,317",3.22,33.35,
149,현대차우,"80,100",500,-0.62%,"5,000","19,510","24,357",57.41,"29,378",3.57,N/A,
150,KODEX 레버리지,"14,595",60,-0.41%,0,"18,944","129,800",0.77,"28,560,611",N/A,N/A,
151,금양,"32,050",100,+0.31%,500,"18,605","58,050",2.23,"2,415,759",105.78,13.57,
152,하이트진로,"26,350",200,+0.76%,"5,000","18,480","70,134",13.16,"135,848",16.27,6.62,
153,코스모신소재,"59,900","1,400",-2.28%,"1,000","18,360","30,651",7.80,"442,499",64.13,9.42,
154,대성홀딩스,"113,500","1,500",-1.30%,"1,000","18,262","16,089",4.71,"53,419",114.19,3.61,
155,오뚜기,"449,500","5,500",+1.24%,"5,000","18,015","4,008",11.11,"2,007",11.57,8.91,
156,TIGER 미국S&P500,"13,185",100,-0.75%,0,"17,958","136,200",0.39,"1,497,493",N/A,N/A,
157,TIGER TOP10,"10,080",55,-0.54%,0,"17,005","168,700",8.24,"161,542",N/A,N/A,
158,효성첨단소재,"379,500",0,0.00%,"5,000","17,001","4,480",6.88,"15,029",9.39,54.69,
159,대웅제약,"146,500","1,500",-1.01%,"2,500","16,974","11,587",8.10,"26,452",20.63,4.39,
160,LS ELECTRIC,"54,500","1,000",-1.80%,"5,000","16,350","30,000",12.42,"78,634",16.66,5.86,
161,JB금융지주,"8,210",180,-2.15%,"5,000","16,172","196,983",26.95,"258,764",2.78,12.80,
162,현대두산인프라코어,"8,160",170,+2.13%,"1,000","16,137","197,763",11.10,"3,140,094",3.51,24.63,
163,효성,"75,800",700,-0.92%,"5,000","15,972","21,071",5.13,"25,706",13.74,18.04,
164,현대위아,"58,400","1,100",-1.85%,"5,000","15,882","27,195",10.23,"84,694",7.76,1.96,
165,DL이앤씨,"40,450",100,+0.25%,"5,000","15,652","38,694",22.77,"78,374",3.60,N/A,
166,효성티앤씨,"360,500","9,500",+2.71%,"5,000","15,601","4,328",8.94,"22,603",10.25,76.22,
167,LX인터내셔널,"40,050","1,200",-2.91%,"5,000","15,523","38,760",32.03,"207,522",2.62,22.49,
168,롯데정밀화학,"59,900",300,-0.50%,"5,000","15,454","25,800",20.01,"51,111",5.03,30.43,
169,삼천리,"381,000","1,500",-0.39%,"5,000","15,450","4,055",13.36,"35,064",19.44,4.52,
170,SK케미칼,"88,900",400,+0.45%,"5,000","15,339","17,254",15.56,"88,961",8.34,11.19,
171,한전KPS,"33,850",400,-1.17%,200,"15,232","45,000",5.80,"67,602",23.23,9.12,
172,녹십자,"130,000","2,000",+1.56%,"5,000","15,192","11,687",22.37,"31,034",14.00,10.30,
173,TIGER 미국필라델피아반도체나스닥,"9,610",130,-1.33%,0,"14,823","154,250",0.37,"524,477",N/A,N/A,
174,쌍용차,"8,760",0,0.00%,"5,000","14,625","166,956",27.55,0,-2.47,305.77,
175,LX세미콘,"89,100",400,+0.45%,500,"14,491","16,264",29.93,"88,838",5.00,44.49,
176,롯데칠성,"156,000","2,000",+1.30%,500,"14,475","9,279",13.45,"15,991",13.16,9.96,
177,두산,"87,100",400,+0.46%,"5,000","14,392","16,524",6.61,"107,365",-17.59,11.08,
178,현대백화점,"61,200","1,600",+2.68%,"5,000","14,322","23,402",23.97,"64,755",6.82,4.36,
